Model,Accuracy,Precision,Recall,F1 Score
Category Model,0.7857142857142857,0.880952380952381,0.7857142857142857,0.7809523809523808
Priority Model,0.7142857142857143,0.5595238095238095,0.7142857142857143,0.6270871985157699
